FIPS,date,cases,deaths,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
48001,2020-02-15,0.0,0.0,3.0,1.0,,,-1.0,
48001,2020-02-16,0.0,0.0,7.0,10.0,,,-4.0,
48001,2020-02-17,0.0,0.0,1.0,-3.0,,,-13.0,3.0
48001,2020-02-18,0.0,0.0,2.0,-4.0,,,0.0,0.0
48001,2020-02-19,0.0,0.0,-5.0,-9.0,,,1.0,2.0
48001,2020-02-20,0.0,0.0,3.0,-1.0,,,-1.0,1.0
48001,2020-02-21,0.0,0.0,4.0,5.0,,-17.0,2.0,1.0
48001,2020-02-22,0.0,0.0,1.0,1.0,,,1.0,
48001,2020-02-23,0.0,0.0,-4.0,3.0,,,1.0,
48001,2020-02-24,0.0,0.0,9.0,-1.0,,,2.0,0.0
48001,2020-02-25,0.0,0.0,11.0,-1.0,,,3.0,-2.0
48001,2020-02-26,0.0,0.0,21.0,7.0,,,5.0,-2.0
48001,2020-02-27,0.0,0.0,16.0,5.0,,,2.0,-3.0
48001,2020-02-28,0.0,0.0,15.0,14.0,,,4.0,-2.0
48001,2020-02-29,0.0,0.0,11.0,16.0,,,3.0,
48001,2020-03-01,0.0,0.0,16.0,15.0,,,3.0,
48001,2020-03-02,0.0,0.0,14.0,7.0,,,2.0,-1.0
48001,2020-03-03,0.0,0.0,21.0,8.0,,,2.0,-2.0
48001,2020-03-04,0.0,0.0,12.0,5.0,,,1.0,2.0
48001,2020-03-05,0.0,0.0,18.0,13.0,,,3.0,-3.0
48001,2020-03-06,0.0,0.0,8.0,10.0,,,3.0,-1.0
48001,2020-03-07,0.0,0.0,9.0,12.0,,,-1.0,
48001,2020-03-08,0.0,0.0,13.0,18.0,,,1.0,
48001,2020-03-09,0.0,0.0,7.0,9.0,,,0.0,2.0
48001,2020-03-10,0.0,0.0,16.0,10.0,,,-1.0,-1.0
48001,2020-03-11,0.0,0.0,23.0,22.0,,,0.0,-1.0
48001,2020-03-12,0.0,0.0,15.0,25.0,,,-3.0,-1.0
48001,2020-03-13,0.0,0.0,9.0,31.0,,,-2.0,1.0
48001,2020-03-14,0.0,0.0,-1.0,23.0,,,-2.0,
48001,2020-03-15,0.0,0.0,-1.0,28.0,,,-1.0,
48001,2020-03-16,0.0,0.0,1.0,17.0,,,-21.0,4.0
48001,2020-03-17,0.0,0.0,-1.0,15.0,,,-23.0,4.0
48001,2020-03-18,0.0,0.0,-4.0,24.0,,,-20.0,5.0
48001,2020-03-19,0.0,0.0,-11.0,25.0,,,-24.0,6.0
48001,2020-03-20,0.0,0.0,-22.0,19.0,,,-24.0,12.0
48001,2020-03-21,0.0,0.0,-34.0,11.0,,,-14.0,
48001,2020-03-22,0.0,0.0,-36.0,5.0,,,-21.0,
48001,2020-03-23,0.0,0.0,-23.0,6.0,,,-21.0,9.0
48001,2020-03-24,0.0,0.0,-18.0,5.0,,,-25.0,8.0
48001,2020-03-25,0.0,0.0,-18.0,9.0,,,-25.0,8.0
48001,2020-03-26,0.0,0.0,-19.0,3.0,,,-27.0,8.0
48001,2020-03-27,0.0,0.0,-24.0,4.0,,,-25.0,11.0
48001,2020-03-28,0.0,0.0,-32.0,-4.0,,,-18.0,
48001,2020-03-29,0.0,0.0,-23.0,1.0,,,-22.0,
48001,2020-03-30,0.0,0.0,-29.0,-7.0,,,-27.0,12.0
48001,2020-03-31,0.0,0.0,-19.0,3.0,,,-32.0,10.0
48001,2020-04-01,1.0,0.0,-8.0,14.0,,,-27.0,11.0
48001,2020-04-02,1.0,0.0,-22.0,3.0,,,-30.0,11.0
48001,2020-04-03,1.0,0.0,-29.0,6.0,,,-28.0,15.0
48001,2020-04-04,1.0,0.0,-45.0,-11.0,,,-26.0,
48001,2020-04-05,1.0,0.0,-39.0,-6.0,,,-26.0,
48001,2020-04-06,1.0,0.0,-31.0,-2.0,,,-28.0,12.0
48001,2020-04-07,1.0,0.0,-26.0,-6.0,,,-33.0,11.0
48001,2020-04-08,1.0,0.0,-24.0,3.0,,,-35.0,12.0
48001,2020-04-09,2.0,0.0,-28.0,-4.0,,,-33.0,12.0
48001,2020-04-10,3.0,0.0,-29.0,-4.0,,,-41.0,16.0
48001,2020-04-11,3.0,0.0,-35.0,-2.0,,,-24.0,
48001,2020-04-12,3.0,0.0,-46.0,-18.0,,,-27.0,
48001,2020-04-13,3.0,0.0,-21.0,-2.0,,,-30.0,11.0
48001,2020-04-14,3.0,0.0,-20.0,-9.0,,,-30.0,11.0
48001,2020-04-15,4.0,0.0,-4.0,7.0,,,-32.0,11.0
48001,2020-04-16,6.0,0.0,-12.0,0.0,,,-31.0,10.0
48001,2020-04-17,6.0,0.0,-25.0,-5.0,,-25.0,-28.0,14.0
48001,2020-04-18,6.0,0.0,-25.0,-4.0,,,-16.0,
48001,2020-04-19,8.0,0.0,-34.0,-16.0,,,-27.0,
48001,2020-04-20,8.0,0.0,-18.0,-3.0,,,-29.0,10.0
48001,2020-04-21,10.0,0.0,-17.0,-5.0,,,-29.0,10.0
48001,2020-04-22,14.0,0.0,-29.0,-12.0,,,-31.0,13.0
