County,Median_Age,Percent_Age_17_and_Under,Percent_Age_65_and_Older,Percent_Age_85_and_Older,Percent_Hispanic,Percent_White_Alone,Percent_African_American_Alone,Percent_American_Indian_&_Alaska_Native_Alone,Percent_Asian_Alone,Percent_Native_Hawaiian_and_Other_Pacific_Islander_Alone,Percent_Multi_Racial,Per_Capita_Income,Median_Household_Income,Avg_Annual_Pay,Percent_Population_in_Poverty,Percent_Population_under_18_in_Poverty,Percent_Urban,Percent_Rural,Percent_HS_Graduate_or_Higher,Percent_Bachelors_Degree_or_Higher,Percent_Unemployed,County_Population,Population_Density_per_Sq_Mile,Percent_Uninsured,Percent_Insured,State,FIPS,State_Abbr,RUCC_2013,RUCC_Description
Anderson,39.4,19.02,15.0,1.48,18.02,74.68,21.83,0.7,0.92,0.16,1.71,34242,45969,44146,19.8,22.6,32.94,67.06,80.2,11.8,3.6,57735,55.01,19.9,80.1,Texas,48001,TX,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area"
Andrews,31.5,31.02,9.8,1.11,56.56,94.2,1.92,1.53,0.79,0.02,1.54,50011,84946,68340,10.7,14.0,83.5,16.5,73.8,10.6,3.1,18705,9.85,21.0,79.0,Texas,48003,TX,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area"
Angelina,37.5,25.44,16.63,2.0,22.41,81.24,15.49,0.75,1.06,0.07,1.39,38897,46653,40464,17.9,26.7,56.92,43.08,79.9,15.7,5.1,86715,108.77,21.3,78.7,Texas,48005,TX,5,"Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area"
Aransas,51.2,17.73,28.89,2.9,27.47,93.18,1.7,1.25,1.96,0.09,1.83,48389,46912,38613,19.9,34.7,72.74,27.26,83.2,20.2,6.8,23510,91.87,24.1,75.9,Texas,48007,TX,2,"Metro - Counties in metro areas of 250,000 to 1 million population"
Archer,44.1,21.55,19.61,2.02,8.24,95.26,1.17,1.47,0.51,0.03,1.55,50310,61190,38231,10.6,14.3,11.01,88.99,90.1,21.8,3.4,8553,10.03,16.5,83.5,Texas,48009,TX,3,"Metro - Counties in metro areas of fewer than 250,000 population"
Armstrong,44.7,22.58,24.91,2.33,8.14,96.38,1.06,1.49,0.21,0.0,0.85,47995,57210,38485,10.7,15.3,0.0,100.0,89.8,23.1,2.5,1887,2.09,17.1,82.9,Texas,48011,TX,2,"Metro - Counties in metro areas of 250,000 to 1 million population"
Atascosa,35.7,27.19,14.87,1.62,64.78,95.6,1.26,1.3,0.61,0.13,1.1,36660,50594,51710,15.7,23.9,39.29,60.71,75.3,14.3,4.2,51153,36.83,20.3,79.7,Texas,48013,TX,1,Metro - Counties in metro areas of 1 million population or more
Austin,41.3,23.84,19.76,2.11,27.36,87.52,9.25,0.81,0.81,0.04,1.57,50702,59942,47874,10.2,16.9,33.66,66.34,82.4,21.0,4.3,30032,43.95,19.7,80.3,Texas,48015,TX,1,Metro - Counties in metro areas of 1 million population or more
Bailey,33.6,30.77,14.8,1.86,63.92,92.42,2.12,3.25,0.88,0.13,1.2,42507,45051,39757,15.8,26.1,71.25,28.75,67.6,10.7,4.3,7000,8.67,29.1,70.9,Texas,48017,TX,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area"
Bandera,53.2,16.47,27.86,2.47,19.35,95.46,1.07,1.3,0.55,0.04,1.57,43459,53008,35860,13.4,22.8,0.0,100.0,86.8,24.0,3.6,23112,25.9,21.9,78.1,Texas,48019,TX,1,Metro - Counties in metro areas of 1 million population or more
