fips,state_abbr,county,RUCC_2013,RUCC Description,% Uninsured,% Insured,"Poverty %, All Ages",Median Household Income,Median age,Sex ratio (males per 100 females),% < age 5,% age 5-9,% age 10-14,% age 15-19,% age 20-24,% age 25-29,% age 30-34,% age 35-39,% age 40-44,% age 45-49,% age 50-54,% age 55-59,% age 60-64,% age 65-69,% age 70-74,% age 75-79,% age 80-84,% > age 84,Population,% White alone,% African American alone,% American Indian and Alaska Native alone,% Native Hawaiian and Other Pacific Islander alone,% Some other race alone,% Two or more races
1001,AL,Autauga County,2,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      ",10.0,90.0,13.8,59338,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003,AL,Baldwin County,3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        ",13.2,86.8,9.8,57588,43.0,95.7,4.8,5.7,6.4,6.5,5.1,5.3,5.6,7.3,5.4,5.9,6.3,7.4,6.9,6.3,6.7,4.5,2.0,1.9,218022.0,86.12,9.43,0.59,0.02,1.19,1.59
1005,AL,Barbour County,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",13.5,86.5,30.9,34382,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007,AL,Bibb County,1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ,10.6,89.4,21.8,46064,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009,AL,Blount County,1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ,14.1,85.9,13.2,50412,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011,AL,Bullock County,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",11.9,88.1,42.5,29267,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013,AL,Butler County,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",11.9,88.1,24.5,37365,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015,AL,Calhoun County,3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        ",11.1,88.9,19.5,45400,39.6,91.5,5.9,4.9,6.8,6.6,6.1,6.2,6.9,7.0,5.6,6.1,5.7,6.5,7.4,5.5,5.2,3.5,2.3,1.6,114277.0,74.42,21.65,0.09,0.0,1.03,2.43
1017,AL,Chambers County,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",11.6,88.4,18.7,39917,,,,,,,,,,,,,,,,,,,,,,,,,,,
1019,AL,Cherokee County,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",13.5,86.5,16.3,42132,,,,,,,,,,,,,,,,,,,,,,,,,,,
