state_id,county,fips_code,policy_level,date,policy_type,start_stop,comments,source,total_phases
ME,York,23031,county,6/1/2020,Food and Drink,start,"Policy_Details: restaurants in York County tentatively scheduled to open for dine-in on June 1 (stage 2), now restricted to outdoor dining, take-away, & delivery only Phase Level: 2, Phase Details Source information: https://www.maine.gov/governor/mills/news/mills-administration-announces-update-restarting-maines-economy-plan-2020-05-27",sip_submission_form: https://www.maine.gov/governor/mills/news/mills-administration-announces-update-restarting-maines-economy-plan-2020-05-27,3
ND,Renville,38075,county,9/3/2020,Childcare (K-12),start,"Policy_Details: - Operate under heightened hygiene & cleaning standards.
- Monitor children and employees for symptoms.   Source information: https://ndresponse.gov/sites/www/files/documents/covid-19/ND%20Smart%20Restart/Additional%20Resources/NDSmartRestartPlan.pdf",sip_submission_form: https://ndresponse.gov/sites/www/files/documents/covid-19/ND%20Smart%20Restart/Additional%20Resources/NDSmartRestartPlan.pdf,5
IL,Monroe,17133,county,8/18/2020,Entertainment,start,"Policy_Details: meetings & social events are limited to 25 people or 25% room capacity (attendance lists must be kept for contact tracing, party buses are prohibited); gaming venues and casinos are limited to 25% capacity and must close at 11:00 pm.    Source information: https://www2.illinois.gov/Pages/Executive-Orders/ExecutiveOrder2020-51.aspx",sip_submission_form: https://www2.illinois.gov/Pages/Executive-Orders/ExecutiveOrder2020-51.aspx,
LA,,,state,3/17/2020,Food and Drink,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access",BU COVID-19 State Policy Database,
OH,Henry,39069,county,7/23/2020,Public Health Advisory System,start,"Policy_Details: counties upgraded to Red Alert Level 3 must limit gatherings of any number, consider necessary travel only, and decrease in-person interactions    Source information: https://coronavirus.ohio.gov/wps/portal/gov/covid-19/resources/news-releases-news-you-can-use/covid-19-update-07-23-20",sip_submission_form: https://coronavirus.ohio.gov/wps/portal/gov/covid-19/resources/news-releases-news-you-can-use/covid-19-update-07-23-20,
TX,Scurry County,48415,county,3/27/2020,Shelter in Place,start,Scurry County Policy Start,wikidata,
PA,Perry,42099,county,6/19/2020,Phase 2,start,"Policy_Details: Perry County enters the green phase on June 19  Phase Level: 2, Phase Details Source information: https://www.governor.pa.gov/newsroom/gov-wolf-eight-more-counties-going-green-on-june-19/",sip_submission_form: https://www.governor.pa.gov/newsroom/gov-wolf-eight-more-counties-going-green-on-june-19/,
MI,Kalkaska,26079,county,7/31/2020,Outdoor and Recreation,start,"Policy_Details:  indoor swimming pools, arcades, bowling alleys, and climbing facilities in Region 6 open at 25% capacity or 250 people (whichever is smaller)   Source information: https://www.michigan.gov/whitmer/0,9309,7-387-90499_90705-535195--,00.html","sip_submission_form: https://www.michigan.gov/whitmer/0,9309,7-387-90499_90705-535195--,00.html",
AZ,,,state,3/11/2020,State of Emergency,start,"Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open, paid sick leave",BU COVID-19 State Policy Database,
NE,,,state,4/3/2020,Suspended Elective Medical Dental Procedures,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access",BU COVID-19 State Policy Database,
