"County","Median Age","% Age 17 and Under","% Age 65 and Older","% Age 85 and Older"
"Anderson","39.4","19.02","15","1.48"
"Andrews","31.5","31.02","9.8","1.11"
"Angelina","37.5","25.44","16.63","2"
"Aransas","51.2","17.73","28.89","2.9"
"Archer","44.1","21.55","19.61","2.02"
"Armstrong","44.7","22.58","24.91","2.33"
"Atascosa","35.7","27.19","14.87","1.62"
"Austin","41.3","23.84","19.76","2.11"
"Bailey","33.6","30.77","14.8","1.86"
"Bandera","53.2","16.47","27.86","2.47"
"Bastrop","38.2","25.37","15.63","1.35"
"Baylor","43.6","22.86","24.05","4.19"
"Bee","35.2","20.95","12.56","1.38"
"Bell","31.5","27.55","11.17","1.24"
"Bexar","34","25.28","12.37","1.42"
"Blanco","50.1","17.77","25.18","2.21"
"Borden","49.1","19.88","26.61","4.28"
"Bosque","46.9","21.03","25.37","3.01"
"Bowie","38.3","23.57","16.98","2.17"
"Brazoria","36.1","26.11","12.22","1.21"
"Brazos","27.3","20.63","9.46","1.1"
"Brewster","44.1","18.25","24.24","2.67"
"Briscoe","46.1","19.53","26.13","3.43"
"Brooks","35.4","27.49","18.44","2.16"
"Brown","41.4","21.58","20.39","2.52"
"Burleson","44","21.78","20.97","2.82"
"Burnet","44.8","21.07","22.84","2.37"
"Caldwell","36.5","23.25","14.91","1.68"
"Calhoun","39.1","23.94","18.7","2.21"
"Callahan","43.6","21.9","21.21","2.49"
"Cameron","32.3","29.91","13.85","1.74"
"Camp","38.3","26.33","19.05","1.75"
"Carson","41.9","23.39","21.09","2.19"
"Cass","44.5","22.19","22.83","2.74"
"Castro","35","28.67","16.41","2.19"
"Chambers","35.1","27.78","12","1.05"
"Cherokee","38.2","25.31","17.94","2.05"
"Childress","33.6","19","15.95","2.07"
"Clay","47.4","19.75","23.72","2.78"
"Cochran","36.5","26.81","16.4","1.72"
"Coke","47","20.93","27.96","3.1"
"Coleman","48.8","20.32","25.92","2.74"
"Collin","37.2","25.64","11.27","1.05"
