"County","% High School Graduate or Higher","% Bachelor s Degree or Higher","Unemployment Rate (%)"
"Anderson","80.2","11.8","3.6"
"Andrews","73.8","10.6","3.1"
"Angelina","79.9","15.7","5.1"
"Aransas","83.2","20.2","6.8"
"Archer","90.1","21.8","3.4"
"Armstrong","89.8","23.1","2.5"
"Atascosa","75.3","14.3","4.2"
"Austin","82.4","21","4.3"
"Bailey","67.6","10.7","4.3"
"Bandera","86.8","24","3.6"
"Bastrop","80.6","18.4","3.5"
"Baylor","86.9","26.6","3.4"
"Bee","71.4","8.9","6.4"
"Bell","90.3","23.2","4.2"
"Bexar","83.4","26.9","3.5"
"Blanco","89.9","28.8","2.7"
"Borden","93.3","36.5","3.5"
"Bosque","82.3","17.7","4.0"
"Bowie","87.5","18.8","4.5"
"Brazoria","86.7","28.7","5.3"
"Brazos","85.6","39.8","3.1"
"Brewster","86.4","36","3.5"
"Briscoe","77.5","23","4.3"
"Brooks","70.4","14.6","8.2"
"Brown","85.1","18.5","3.8"
"Burleson","80.4","14.8","4.1"
"Burnet","86.1","23","3.2"
"Caldwell","79.1","14.7","3.9"
"Calhoun","80.5","15.4","5.8"
"Callahan","88","14.7","3.7"
"Cameron","65.6","16.8","6.9"
"Camp","81.2","15","5.6"
"Carson","92.2","26.4","3.2"
"Cass","85.9","14.4","6.0"
"Castro","70.5","13.1","3.3"
"Chambers","83.8","21.1","6.5"
"Cherokee","79.6","17.4","4.5"
"Childress","85.3","15.6","3.0"
"Clay","89.3","16.3","3.6"
"Cochran","70","9.5","4.6"
"Coke","85.3","20.5","3.7"
"Coleman","82.6","14.2","4.4"
"Collin","93.6","50.2","3.4"
"Collingsworth","77","17","3.6"
"Colorado","81.8","18.4","3.8"
"Comal","91.5","34.5","3.4"
"Comanche","79.9","17","3.7"
"Concho","61.4","11.5","4.2"
"Cooke","86.1","21.6","3.6"
"Coryell","87.6","15.1","4.3"
"Cottle","72.2","16.2","4.3"
"Crane","72.8","12.9","5.3"
"Crockett","73.7","11","4.1"
"Crosby","72.3","12.1","4.1"
"Culberson","64.9","7.7","3.6"
"Dallam","72.7","11.8","2.1"
"Dallas","78","29.7","3.8"
"Dawson","74.1","12.6","4.9"
"Deaf Smith","71.8","14.2","3.1"
"Delta","86.3","18.6","3.3"
"Denton","92","42.2","3.3"
"DeWitt","79.9","14.6","4.4"
"Dickens","78.5","14.3","4.7"
"Dimmit","66.6","10.5","5.1"
"Donley","87.3","16.5","3.6"
"Duval","67.1","8.9","7.7"
"Eastland","82.8","14.6","4.3"
"Ector","75.1","15.2","4.1"
"Edwards","75.1","24","3.2"
"El Paso","76.5","21.7","4.6"
"Ellis","84.6","21.9","3.4"
"Erath","83.9","28.2","3.4"
"Falls","75.7","11.9","4.2"
"Fannin","83","15.6","3.3"
"Fayette","81.7","17.1","3.2"
"Fisher","82.8","18.4","3.5"
"Floyd","73.2","16.4","5.5"
"Foard","80.8","16","3.4"
"Fort Bend","89.2","44.6","4.6"
"Franklin","85.5","19","4.6"
"Freestone","81.1","11.5","6.3"
"Frio","62.8","7.3","3.8"
"Gaines","60.4","10.5","3.0"
"Galveston","87.6","28.9","5.2"
"Garza","57","8.8","3.3"
"Gillespie","89.3","34.1","2.6"
"Glasscock","75.2","25.2","2.6"
"Goliad","88.8","16","4.9"
"Gonzales","72.5","13.7","3.5"
"Gray","80.3","13.6","5.3"
