"County","Land Area","Water Area","Total Area","Percent Urban","Percent Rural"
"Anderson","1,062.60","15.40","1,078.00","32.94","67.06"
"Andrews","1,500.70","0.40","1,501.10","83.5","16.5"
"Angelina","797.80","66.90","864.70","56.92","43.08"
"Aransas","252.10","275.90","528.00","72.74","27.26"
"Archer","903.30","22.30","925.60","11.01","88.99"
"Armstrong","909.10","4.70","913.80","0","100"
"Atascosa","1,219.50","1.90","1,221.50","39.29","60.71"
"Austin","646.50","9.90","656.40","33.66","66.34"
"Bailey","827.00","0.70","827.70","71.25","28.75"
"Bandera","791.00","6.70","797.70","0","100"
"Bastrop","888.20","7.30","895.60","36.15","63.85"
"Baylor","867.50","33.60","901.10","0","100"
"Bee","880.20","0.10","880.30","57.02","42.98"
"Bell","1,053.80","36.40","1,090.30","84.81","15.19"
"Bexar","1,240.30","15.80","1,256.10","95.46","4.54"
"Blanco","709.30","4.20","713.40","0","100"
"Borden","897.40","8.60","906.10","0","100"
"Bosque","983.00","19.60","1,002.50","18.78","81.22"
"Bowie","885.00","38.00","922.90","64.58","35.42"
"Brazoria","1,363.30","245.30","1,608.70","77.47","22.53"
"Brazos","586.10","5.10","591.20","87.94","12.06"
"Brewster","6,183.80","8.50","6,192.30","65.13","34.87"
"Briscoe","900.00","1.60","901.60","0","100"
"Brooks","943.40","0.30","943.60","68.24","31.76"
"Brown","944.50","12.50","957.00","59.6","40.4"
"Burleson","659.10","17.80","676.90","23.34","76.66"
"Burnet","994.80","27.00","1,021.80","44.33","55.67"
"Caldwell","545.20","1.90","547.20","57.71","42.29"
"Calhoun","506.80","525.80","1,032.70","55.27","44.73"
"Callahan","899.40","1.90","901.30","27.82","72.18"
"Cameron","891.70","384.80","1,276.40","91.58","8.42"
"Camp","195.80","7.40","203.20","38.52","61.48"
"Carson","920.20","3.90","924.10","4.8","95.2"
"Cass","936.90","23.40","960.30","25.99","74.01"
"Castro","894.40","4.80","899.30","54.24","45.76"
"Chambers","597.20","274.00","871.10","54.28","45.72"
"Cherokee","1,053.00","9.20","1,062.20","36.95","63.05"
"Childress","696.50","17.20","713.70","66.85","33.15"
"Clay","1,088.80","28.00","1,116.80","25.4","74.6"
"Cochran","775.10","0.10","775.20","0","100"
"Coke","911.60","16.30","928.00","0","100"
"Coleman","1,262.90","18.50","1,281.40","48.45","51.55"
"Collin","841.30","44.60","885.90","94.76","5.24"
"Collingsworth","918.40","0.90","919.30","0","100"
"Colorado","960.30","13.40","973.70","37.39","62.61"
"Comal","559.50","15.40","574.90","53.85","46.15"
"Comanche","937.80","9.90","947.70","28.54","71.46"
"Concho","983.80","9.90","993.70","0","100"
"Cooke","874.80","23.70","898.50","40.97","59.03"
"Coryell","1,052.20","4.60","1,056.80","80.58","19.42"
"Cottle","900.60","1.10","901.60","0","100"
"Crane","785.10","0.70","785.70","89.3","10.7"
"Crockett","2,807.30","0.00","2,807.30","77.25","22.75"
"Crosby","900.20","1.50","901.70","0","100"
"Culberson","3,812.20","0.20","3,812.40","0","100"
"Dallam","1,503.10","2.00","1,505.10","76.46","23.54"
"Dallas","873.00","35.50","908.50","99.31","0.69"
"Dawson","900.30","1.80","902.10","83.71","16.29"
"Deaf Smith","1,496.80","1.50","1,498.30","82.29","17.71"
"Delta","256.80","21.10","277.90","0","100"
"Denton","878.50","73.20","951.70","93.09","6.91"
"DeWitt","909.00","1.50","910.50","50.38","49.62"
"Dickens","901.70","3.50","905.20","0","100"
"Dimmit","1,328.90","5.60","1,334.50","60.52","39.48"
"Donley","926.90","6.10","933.00","0","100"
"Duval","1,793.50","2.10","1,795.60","32.96","67.04"
"Eastland","926.50","5.40","931.90","39.65","60.35"
"Ector","897.80","4.00","901.80","90.54","9.46"
"Edwards","2,117.90","2.00","2,119.90","0","100"
"El Paso","1,013.20","2.10","1,015.30","97.83","2.17"
"Ellis","935.90","16.10","952.00","68.02","31.98"
"Erath","1,083.20","6.60","1,089.80","53.68","46.32"
"Falls","765.50","8.40","773.90","32.64","67.36"
"Fannin","890.80","8.00","898.90","29.47","70.53"
"Fayette","949.90","9.90","959.80","32.86","67.14"
"Fisher","899.00","2.80","901.80","0","100"
"Floyd","992.10","0.40","992.50","46.68","53.32"
"Foard","704.40","3.30","707.70","0","100"
"Fort Bend","861.70","23.60","885.30","94.46","5.54"
"Franklin","284.40","10.40","294.80","30.87","69.13"
"Freestone","877.70","14.30","892.00","33.52","66.48"
"Frio","1,133.50","0.80","1,134.30","77.82","22.18"
"Gaines","1,502.40","0.50","1,502.90","36.96","63.04"
"Galveston","379.00","494.90","873.90","93.85","6.15"
"Garza","893.40","2.80","896.20","77.67","22.33"
"Gillespie","1,058.20","3.50","1,061.70","46.35","53.65"
"Glasscock","900.20","0.90","901.10","0","100"
"Goliad","852.00","7.40","859.40","0","100"
