"County","Per Capita Income","Total Personal Income","Median Household Income","Average Annual Pay","% of Population in Poverty","% of Population Under 18 in Poverty"
"Anderson","$34,242","$1,987,998,000","$45,969","$44,146","19.8","22.6"
"Andrews","$50,011","$906,592,000","$84,946","$68,340","10.7","14"
"Angelina","$38,897","$3,387,655,000","$46,653","$40,464","17.9","26.7"
"Aransas","$48,389","$1,151,262,000","$46,912","$38,613","19.9","34.7"
"Archer","$50,310","$442,022,000","$61,190","$38,231","10.6","14.3"
"Armstrong","$47,995","$90,807,000","$57,210","$38,485","10.7","15.3"
"Atascosa","$36,660","$1,844,379,000","$50,594","$51,710","15.7","23.9"
"Austin","$50,702","$1,520,493,000","$59,942","$47,874","10.2","16.9"
"Bailey","$42,507","$298,694,000","$45,051","$39,757","15.8","26.1"
"Bandera","$43,459","$991,906,000","$53,008","$35,860","13.4","22.8"
"Bastrop","$36,561","$3,179,953,000","$61,883","$39,288","12.6","19.2"
"Baylor","$41,704","$149,384,000","$41,180","$35,155","16.1","28.6"
"Bee","$28,457","$927,329,000","$41,806","$37,001","26.7","32"
"Bell","$42,773","$15,211,864,000","$54,292","$46,975","13","19.1"
"Bexar","$46,058","$91,473,170,000","$54,210","$50,720","17.2","23.7"
"Blanco","$51,968","$608,130,000","$64,832","$48,527","10.1","17.2"
"Borden","$63,756","$41,314,000","$66,101","$38,302","10","14.5"
"Bosque","$41,592","$777,395,000","$48,460","$38,772","14.9","24"
"Bowie","$40,010","$3,773,940,000","$47,339","$40,397","19.1","25.5"
"Brazoria","$47,239","$17,487,902,000","$74,225","$59,130","10.1","13.1"
"Brazos","$39,216","$8,892,606,000","$50,113","$41,593","23.2","20.2"
"Brewster","$45,652","$423,060,000","$45,670","$40,768","16","21.2"
"Briscoe","$35,243","$53,429,000","$44,409","$32,256","16.2","24.3"
"Brooks","$33,861","$240,890,000","$30,116","$43,551","31","48.6"
"Brown","$38,830","$1,472,596,000","$47,097","$37,921","13.2","21.2"
"Burleson","$42,629","$783,900,000","$53,626","$45,600","14.8","23.7"
"Burnet","$46,516","$2,211,485,000","$56,696","$42,591","11","18.6"
"Caldwell","$33,668","$1,456,019,000","$52,588","$39,602","14.1","20.7"
"Calhoun","$38,668","$833,716,000","$52,085","$66,625","14.2","24"
"Callahan","$39,392","$551,248,000","$50,330","$42,182","12","20.2"
"Cameron","$28,756","$12,189,811,000","$38,106","$33,599","27.9","40.2"
"Camp","$38,660","$503,851,000","$43,714","$39,208","18.8","30.5"
"Carson","$46,373","$278,471,000","$64,799","$82,411","8.9","12.2"
"Cass","$36,905","$1,111,548,000","$44,154","$36,834","20.4","32"
"Castro","$42,786","$327,951,000","$45,689","$36,980","17.5","24.2"
"Chambers","$53,673","$2,278,642,000","$89,513","$63,980","8.5","10.9"
"Cherokee","$34,468","$1,812,735,000","$43,483","$36,122","17.4","24.6"
"Childress","$30,084","$219,339,000","$42,291","$38,109","21.2","25.4"
"Clay","$42,335","$442,652,000","$58,356","$37,220","10.9","16.9"
"Cochran","$38,312","$108,652,000","$42,873","$40,099","21.9","31.8"
"Coke","$41,895","$141,187,000","$44,804","$40,418","14.1","21.4"
"Coleman","$40,669","$341,499,000","$39,484","$30,611","19.3","30.6"
"Collin","$65,874","$66,212,712,000","$96,936","$66,886","6.4","6.7"
"Collingsworth","$33,039","$97,861,000","$39,536","$40,303","17.3","26.7"
"Colorado","$46,821","$993,400,000","$48,258","$42,474","13.7","21.9"
"Comal","$58,067","$8,615,549,000","$76,523","$43,403","7.1","10.2"
"Comanche","$42,465","$574,718,000","$52,251","$34,632","16.4","25"
