"County","County Population"," Population Density Per Sq Mile","County Seat","County Seat Population"
"Anderson","57,735","55.01","Palestine"," 18,712 "
"Andrews","18,705","9.85","Andrews"," 11,088 "
"Angelina","86,715","108.77","Lufkin"," 35,067 "
"Aransas","23,510","91.87","Rockport"," 8,766 "
"Archer","8,553","10.03","Archer City"," 1,834 "
"Armstrong","1,887","2.09","Claude"," 1,196 "
"Atascosa","51,153","36.83","Jourdanton"," 3,871 "
"Austin","30,032","43.95","Bellville"," 4,097 "
"Bailey","7,000","8.67","Muleshoe"," 5,158 "
"Bandera","23,112","25.90","Bandera"," 857 "
"Bastrop","88,723","83.51","Bastrop"," 7,218 "
"Baylor","3,509","4.30","Seymour"," 2,740 "
"Bee","32,565","36.20","Beeville"," 12,863 "
"Bell","362,924","295.18","Belton"," 18,216 "
"Bexar","2,003,554","1,383.08","San Antonio"," 1,327,407 "
"Blanco","11,931","14.80","Johnson City"," 1,656 "
"Borden","654","0.71","Gail"," 231 "
"Bosque","18,685","18.53","Meridian"," 1,493 "
"Bowie","93,245","104.59","New Boston"," 4,550 "
"Brazoria","374,264","230.66","Angleton"," 18,862 "
"Brazos","229,211","332.83","Bryan"," 76,201 "
"Brewster","9,203","1.49","Alpine"," 5,905 "
"Briscoe","1,546","1.82","Silverton"," 731 "
"Brooks","7,093","7.66","Falfurrias"," 4,981 "
"Brown","37,864","40.35","Brownwood"," 19,288 "
"Burleson","18,443","26.08","Caldwell"," 4,104 "
"Burnet","48,155","43.00","Burnet"," 5,987 "
"Caldwell","43,664","69.81","Lockhart"," 12,698 "
"Calhoun","21,290","42.18","Port Lavaca"," 12,248 "
"Callahan","13,943","15.06","Baird"," 1,496 "
"Cameron","423,163","455.95","Brownsville"," 175,023 "
"Camp","13,094","63.33","Pittsburg"," 4,497 "
"Carson","5,926","6.72","Panhandle"," 2,452 "
"Cass","30,026","32.51","Linden"," 1,988 "
"Castro","7,530","9.01","Dimmitt"," 4,393 "
"Chambers","43,837","58.77","Anahuac"," 2,243 "
"Cherokee","52,646","48.29","Rusk"," 5,551 "
"Childress","7,306","10.11","Childress"," 6,105 "
"Clay","10,471","9.88","Henrietta"," 3,141 "
"Cochran","2,853","4.03","Morton"," 2,006 "
"Coke","3,387","3.64","Robert Lee"," 1,049 "
