"County","Ethnicity: % Hispanic","Race: % White Alone","Race: % African American Alone","Race: % American Indian & Alaska Native Alone","Race: % Asian Alone","Race: % Native Hawaiian and Other Pacific Islander Alone","Race: % Multi-Racial"
"Anderson","18.02","74.68","21.83","0.7","0.92","0.16","1.71"
"Andrews","56.56","94.2","1.92","1.53","0.79","0.02","1.54"
"Angelina","22.41","81.24","15.49","0.75","1.06","0.07","1.39"
"Aransas","27.47","93.18","1.7","1.25","1.96","0.09","1.83"
"Archer","8.24","95.26","1.17","1.47","0.51","0.03","1.55"
"Armstrong","8.14","96.38","1.06","1.49","0.21","0","0.85"
"Atascosa","64.78","95.6","1.26","1.3","0.61","0.13","1.1"
"Austin","27.36","87.52","9.25","0.81","0.81","0.04","1.57"
"Bailey","63.92","92.42","2.12","3.25","0.88","0.13","1.2"
"Bandera","19.35","95.46","1.07","1.3","0.55","0.04","1.57"
"Bastrop","38.6","87.54","7.38","1.94","0.92","0.14","2.07"
"Baylor","13.83","93.53","2.91","0.84","0.48","0.08","2.16"
"Bee","59.21","88.24","8.89","0.91","0.65","0.1","1.21"
"Bell","25.31","65.99","24.26","1.06","3.21","0.85","4.62"
"Bexar","60.49","84.41","8.55","1.22","3.21","0.23","2.38"
"Blanco","19.54","94.63","1.53","1.28","0.99","0.09","1.49"
"Borden","18.55","95.21","0.93","0.77","0.15","0","2.94"
"Bosque","18.97","94.86","2.1","0.85","0.59","0.07","1.53"
"Bowie","7.73","69.9","25.34","1.05","1.2","0.09","2.41"
"Brazoria","31.15","75.44","14.67","0.84","6.88","0.1","2.07"
"Brazos","25.94","79.8","11.08","0.67","6.27","0.12","2.06"
"Brewster","44.93","92.57","1.63","1.7","1.61","0.18","2.31"
"Briscoe","25.26","93.19","3.57","0.73","0.26","0","2.25"
"Brooks","91.59","96.66","1","0.66","1.13","0.04","0.51"
"Brown","22.59","92.49","4","0.85","0.81","0.08","1.79"
"Burleson","20.7","83.85","12.84","1.08","0.4","0.04","1.78"
"Burnet","22.41","94.24","2.08","1.18","0.9","0.08","1.52"
"Caldwell","53.01","89.05","6.5","1.54","0.98","0.1","1.83"
"Calhoun","49.36","89.2","3.13","0.83","5.41","0.05","1.38"
"Callahan","9.89","94.93","1.64","0.79","0.69","0.1","1.84"
"Cameron","89.81","97.11","0.81","0.66","0.79","0.07","0.56"
"Camp","25.41","78.56","16.69","0.96","0.97","0.17","2.65"
"Carson","10.32","94.64","0.87","1.76","0.6","0.05","2.08"
"Cass","4.65","80.28","16.91","0.67","0.45","0.05","1.64"
"Castro","65.04","93.75","2.71","1.81","0.71","0.01","1"
"Chambers","22.92","87.71","8.3","1.03","1.28","0.12","1.57"
"Cherokee","23.51","81.17","14.61","1.64","0.56","0.07","1.95"
"Childress","31.52","85.77","11.11","0.98","0.67","0.03","1.44"
"Clay","6.59","95.07","0.9","1.38","0.49","0.01","2.15"
"Cochran","59.7","90.82","4.38","3","0.46","0.25","1.1"
"Coke","21.49","94.66","0.89","2.44","0.15","0.03","1.82"
"Coleman","17.45","92.36","3.18","1.42","1","0.04","2"
"Collin","15.4","70.14","10.46","0.69","15.87","0.1","2.74"
"Collingsworth","34.02","88.17","6.08","3.2","0.51","0","2.04"
"Colorado","30.28","83.71","12.63","1.09","0.72","0.07","1.77"
"Comal","27.62","93.2","2.54","0.87","1.37","0.09","1.93"
"Comanche","28.36","95.55","1.07","1.25","0.68","0.05","1.4"
"Concho","34.7","94.11","2.2","0.86","1.64","0.04","1.16"
"Cooke","18.6","92.18","3.39","1.38","1.08","0.05","1.93"
"Coryell","18.62","73.64","17.67","1.16","2.12","0.97","4.43"
"Cottle","24.96","86.18","10.93","0.51","0.07","0.14","2.17"
"Crane","65.24","92.2","3.66","1.43","0.97","0.13","1.62"
"Crockett","66.27","93.92","1.6","2.36","0.76","0.09","1.28"
"Crosby","56.05","92.57","3.9","1.13","0.26","0.07","2.06"
"Culberson","72.33","91.39","1.05","2.42","2.01","0.05","3.1"
"Dallam","46.71","92.59","2.41","2.23","1.08","0.16","1.52"
"Dallas","40.47","66.72","23.52","1.08","6.64","0.11","1.92"
"Dawson","57.92","89.82","6.07","1.23","1.27","0.13","1.48"
"Deaf Smith","73.32","94.39","2.11","1.72","0.61","0.07","1.1"
"Delta","8.65","87.32","6.58","2.33","0.66","0.06","3.06"
"Denton","19.44","76.33","10.64","0.84","9.41","0.11","2.67"
"DeWitt","35.68","87.96","9.37","0.94","0.36","0.04","1.33"
"Dickens","31.51","88.37","5.95","2.3","1.31","0.09","1.98"
"Dimmit","87.18","95.9","1.59","0.77","0.75","0.02","0.97"
"Donley","11.73","91.1","5.76","0.87","0.75","0.06","1.45"
"Duval","89.32","96.47","1.44","0.9","0.48","0.12","0.6"
"Eastland","16.65","94.38","2.17","1.2","0.69","0.08","1.49"
"Ector","61.52","90.38","5.17","1.45","1.24","0.26","1.5"
"Edwards","55.71","94.97","1.1","2.2","0.73","0","1"
"El Paso","82.84","91.94","3.96","1.05","1.35","0.21","1.49"
"Ellis","26.56","84.86","11.39","0.86","0.81","0.14","1.94"
"Erath","21.44","94.14","1.94","1.27","1.01","0.09","1.55"
"Falls","23.41","71.74","24.28","1.14","0.63","0.21","2.01"
"Fannin","11.61","89.01","6.52","1.39","0.75","0.07","2.25"
"Fayette","21.3","90.41","6.56","1.23","0.48","0.06","1.26"
"Fisher","28.5","91.86","4.16","1.18","0.55","0.18","2.07"
"Floyd","58.98","92.27","4.17","1.4","0.47","0.02","1.68"
"Foard","18.98","92.36","4.7","0.67","0.84","0","1.43"
"Fort Bend","24.71","55.24","21.11","0.6","20.71","0.09","2.25"
"Franklin","14.8","92.17","3.97","1.08","0.97","0.03","1.78"
"Freestone","15.81","79.87","15.82","1.4","0.85","0.03","2.03"
"Frio","79.59","91.24","4.12","0.98","2.66","0.04","0.96"
"Gaines","41.63","95.01","2.25","1","0.43","0.06","1.24"
"Galveston","24.98","80.3","13.27","0.8","3.45","0.11","2.07"
"Garza","51.56","89.08","7.48","1.01","0.75","0.1","1.59"
"Gillespie","23.5","96.52","0.67","1.13","0.48","0.17","1.03"
"Glasscock","38.53","97.12","1.58","0.5","0.14","0.14","0.5"
"Goliad","36.15","91.9","5.21","0.98","0.54","0.03","1.36"
"Gonzales","51.25","89.02","7.3","1.71","0.55","0.14","1.28"
"Gray","29.25","90.18","5.39","1.63","0.68","0","2.12"
"Grayson","13.8","87.59","6.24","1.8","1.52","0.09","2.77"
"Gregg","18.95","74.54","20.88","1","1.38","0.1","2.09"
"Grimes","24.38","81.01","15.56","0.99","0.39","0.12","1.94"
