County,Fips Code,Population,Sq mi
Anderson County,1,"57,741","1,071"
Andrews County,3,"17,722","1,501"
Angelina County,5,"87,805",802
Aransas County,7,"25,572",252
Archer County,9,"8,809",910
Armstrong County,11,"1,879",914
Atascosa County,13,"48,981","1,232"
Austin County,15,"29,786",653
Bailey County,17,"7,077",827
Bandera County,19,"22,351",792
Bastrop County,21,"84,761",888
Baylor County,23,"3,581",871
Bee County,25,"32,563",880
Bell County,27,"347,833","1,059"
Bexar County,29,"1,958,578","1,247"
Blanco County,31,"11,626",711
Borden County,33,673,899
Bosque County,35,"18,326",989
Bowie County,37,"94,012",888
Brazoria County,39,"362,457","1,387"
Brazos County,41,"222,830",586
Brewster County,43,"9,337","6,193"
Briscoe County,45,"1,528",900
Brooks County,47,"7,235",943
Brown County,49,"38,053",944
Burleson County,51,"18,011",666
Burnet County,53,"46,804",995
Caldwell County,55,"42,338",546
Calhoun County,57,"21,744",512
Callahan County,59,"13,946",899
Cameron County,61,"423,725",906
Camp County,63,"12,855",198
Carson County,65,"6,032",923
Castro County,69,"7,843",898
Chambers County,71,"41,441",599
Cherokee County,73,"52,240","1,052"
Childress County,75,"7,067",710
Clay County,77,"10,421","1,098"
Cochran County,79,"2,851",775
Coke County,81,"3,306",899
Coleman County,83,"8,430","1,273"
Collin County,85,"969,603",848
Collingsworth County,87,"2,987",919
Comal County,91,"141,009",562
Comanche County,93,"13,573",938
Concho County,95,"2,717",992
Cooke County,97,"39,895",874
Coryell County,99,"74,913","1,052"
Cottle County,101,"1,387",901
Crane County,103,"4,740",786
Crockett County,105,"3,564","2,808"
Crosby County,107,"5,899",900
Culberson County,109,"2,231","3,813"
Dallam County,111,"7,208","1,505"
Dawson County,115,"12,813",902
Deaf Smith County,117,"18,836","1,497"
Delta County,119,"5,298",277
Denton County,121,"836,210",888
DeWitt County,123,"20,226",909
Dickens County,125,"2,209",904
Dimmit County,127,"10,418","1,331"
Donley County,129,"3,311",930
Duval County,131,"11,273","1,793"
Eastland County,133,"18,411",926
Ector County,135,"157,087",901
Edwards County,137,"1,953","2,120"
El Paso County,141,"840,410","1,013"
Ellis County,139,"173,620",940
Erath County,143,"41,969","1,086"
Falls County,145,"17,437",769
Fannin County,147,"34,446",892
Fayette County,149,"25,272",950
Fisher County,151,"3,880",901
Floyd County,153,"5,855",992
Foard County,155,"1,222",707
Fort Bend County,157,"764,828",875
Franklin County,159,"10,767",286
Freestone County,161,"19,625",885
Gaines County,165,"20,638","1,502"
