"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races"
"0500000US01003","Baldwin County, Alabama","218022","*****","187759","1764","20554","446","1276","702","2338","533","45","86","2586","1957","3464","1078","177","193","3287","1032"
"0500000US01015","Calhoun County, Alabama","114277","*****","85046","1148","24737","642","107","138","426","363","0","201","1182","1239","2779","793","842","601","1937","594"
"0500000US01043","Cullman County, Alabama","83442","*****","78643","1169","906","335","301","403","166","173","0","201","1367","1105","2059","806","335","528","1724","511"
"0500000US01049","DeKalb County, Alabama","71385","*****","60157","1938","1335","201","868","614","173","241","0","201","7583","1943","1269","541","0","201","1269","541"
"0500000US01051","Elmore County, Alabama","81887","*****","60622","957","17113","1682","345","292","522","393","0","201","1339","897","1946","1401","56","93","1890","1388"
"0500000US01055","Etowah County, Alabama","102501","*****","81129","718","17474","1256","209","261","862","154","0","201","1094","769","1733","875","249","393","1484","803"
"0500000US01069","Houston County, Alabama","104722","*****","72687","205","29214","471","66","49","700","235","0","201","113","90","1942","505","151","151","1791","497"
"0500000US01073","Jefferson County, Alabama","659300","*****","341227","3031","282596","2292","1786","825","9564","2144","724","603","10729","3084","12674","3268","2167","1612","10507","2768"
"0500000US01077","Lauderdale County, Alabama","92387","*****","80452","286","9614","234","89","124","667","138","133","135","283","251","1149","284","73","150","1076","243"
