GEO_ID,NAME,B02001_001E,B02001_001M,B02001_002E,B02001_002M,B02001_003E,B02001_003M,B02001_004E,B02001_004M,B02001_005E,B02001_005M,B02001_006E,B02001_006M,B02001_007E,B02001_007M,B02001_008E,B02001_008M,B02001_009E,B02001_009M,B02001_010E,B02001_010M
id,Geographic Area Name,Estimate!!Total:,Margin of Error!!Total:,Estimate!!Total:!!White alone,Margin of Error!!Total:!!White alone,Estimate!!Total:!!Black or African American alone,Margin of Error!!Total:!!Black or African American alone,Estimate!!Total:!!American Indian and Alaska Native alone,Margin of Error!!Total:!!American Indian and Alaska Native alone,Estimate!!Total:!!Asian alone,Margin of Error!!Total:!!Asian alone,Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone,Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Total:!!Some other race alone,Margin of Error!!Total:!!Some other race alone,Estimate!!Total:!!Two or more races:,Margin of Error!!Total:!!Two or more races:,Estimate!!Total:!!Two or more races:!!Two races including Some other race,Margin of Error!!Total:!!Two or more races:!!Two races including Some other race,"Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races"
0500000US01003,"Baldwin County, Alabama",223234,*****,190912,2259,18338,1834,2428,1195,2160,733,0,206,4685,2280,4711,2205,0,206,4711,2205
0500000US01015,"Calhoun County, Alabama",113605,*****,82323,1330,25226,1306,201,243,225,211,85,130,3186,1802,2359,1184,0,206,2359,1184
0500000US01043,"Cullman County, Alabama",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0500000US01049,"DeKalb County, Alabama",71513,*****,59305,1375,688,434,792,740,17,29,339,405,8327,1548,2045,913,8,18,2037,915
0500000US01051,"Elmore County, Alabama",81209,*****,61634,311,17768,410,204,210,884,206,0,206,216,259,503,381,64,114,439,365
0500000US01055,"Etowah County, Alabama",102268,*****,79988,698,16040,637,290,408,796,281,12,21,3207,777,1935,773,142,246,1793,702
0500000US01069,"Houston County, Alabama",105882,*****,71582,1487,29736,445,93,66,946,193,120,141,1502,1465,1903,471,146,129,1757,470
0500000US01073,"Jefferson County, Alabama",658573,*****,341788,2877,285001,1579,1846,1022,11523,818,0,206,9081,2812,9334,2045,353,259,8981,2045
0500000US01077,"Lauderdale County, Alabama",92729,*****,79178,1232,10533,739,224,310,117,187,0,206,620,382,2057,1110,1279,1069,778,615
0500000US01081,"Lee County, Alabama",164542,*****,116738,686,37396,1278,586,623,7191,895,0,206,197,229,2434,1373,0,206,2434,1373
0500000US01083,"Limestone County, Alabama",98915,*****,77744,1185,13999,914,435,351,1695,456,80,145,2831,1125,2131,757,104,129,2027,757
0500000US01089,"Madison County, Alabama",372909,*****,250321,2232,92197,1869,2331,948,10309,798,132,138,7659,2407,9960,1806,513,450,9447,1704
0500000US01095,"Marshall County, Alabama",96774,*****,90252,869,3820,535,71,100,593,128,0,206,1222,856,816,527,27,41,789,532
0500000US01097,"Mobile County, Alabama",413210,*****,240449,2426,150159,2160,2915,906,7779,1347,61,99,3449,2236,8398,2517,496,421,7902,2423
